truck_id,forest_id,trips_planned,cbm_per_truck,profit
1,PFM ,5,45,8646.75
5,PFM ,2,45,3458.7
6,PFM ,5,45,8646.75
7,Coco beach - AV,4,45,5128.2
8,Coco beach - AV,4,45,5128.2
9,PFM ,5,45,8646.75
11,HuaJia ,5,45,4776.75
12,PFM ,5,45,8646.75
13,Coco beach - AV,4,45,5128.2
14,HuaJia ,1,45,955.35
15,Coco beach - AV,4,45,5128.2
17,HuaJia ,5,45,4776.75
18,HuaJia ,5,45,4776.75
19,PFM ,5,45,8646.75
21,Coco beach - AV,1,45,1282.05
22,Coco beach - AV,4,45,5128.2
24,PFM ,5,45,8646.75
25,Coco beach - AV,4,45,5128.2
26,Coco beach - AV,4,45,5128.2
28,HuaJia ,5,45,4776.75
29,HuaJia ,5,45,4776.75
30,PFM ,5,45,8646.75
31,Coco beach - AV,4,45,5128.2
32,PFM ,5,45,8646.75
33,MPB - Mabanda ,1,55,2938.9312975
34,GZW Mabota - Mabanda,1,55,1066.45
35,Ciplac - C.Leroy ,1,55,1490.5
36,Ciplac - C.Leroy ,1,55,1490.5
37,Ciplac - C.Leroy ,1,55,1490.5
38,MPB - Mabanda ,1,55,2938.9312975
39,GZW Mabota - Mabanda,1,55,1066.45
40,Gsez Mvoung -Biliba ,1,55,1057.1
40,HuaJia ,1,55,1167.65
41,GZW Mabota - Mabanda,1,55,1066.45
42,Ciplac - C.Leroy ,1,55,1490.5
43,GZW Mabota - Mabanda,1,55,1066.45
44,Ciplac - C.Leroy ,1,55,1490.5
45,Ciplac - C.Leroy ,1,55,1490.5
46,Ciplac - C.Leroy ,1,55,1490.5
47,MPB - Mabanda ,1,55,2938.9312975
48,Ciplac - C.Leroy ,1,55,1490.5
49,Ciplac - C.Leroy ,1,55,1490.5
50,MPB - Mabanda ,1,55,2938.9312975
51,MPB - Mabanda ,1,55,2938.9312975
52,Gsez Mvoung -Biliba ,1,55,1057.1
52,PFM ,1,55,2113.65
53,MPB - Mabanda ,1,55,2938.9312975
54,Ciplac - C.Leroy ,1,55,1490.5
55,Gsez Mvoung -Biliba ,1,55,1057.1
55,HuaJia ,1,55,1167.65
56,Ciplac - C.Leroy ,1,55,1490.5
57,MPB - Mabanda ,1,55,2938.9312975
58,MPB - Mabanda ,1,55,2938.9312975
59,Gsez Mvoung -Biliba ,1,55,1057.1
59,HuaJia ,1,55,1167.65
60,Gsez Mvoung -Biliba ,1,55,1057.1
60,HuaJia ,1,55,1167.65
61,MPB - Mabanda ,1,55,2938.9312975
62,MPB - Mabanda ,1,55,2938.9312975
63,MPB - Mabanda ,1,55,2938.9312975
64,GZW Mabota - Mabanda,1,55,1066.45
65,Ciplac - C.Leroy ,1,55,1490.5
66,GZW Mabota - Mabanda,1,55,1066.45
67,Ciplac - C.Leroy ,1,55,1490.5
68,GZW Mabota - Mabanda,1,55,1066.45
69,MPB - Mabanda ,1,55,2938.9312975
70,MPB - Mabanda ,1,55,2938.9312975
71,GZW Mabota - Mabanda,1,55,1066.45
72,Gsez Mvoung -Biliba ,1,55,1057.1
72,HuaJia ,1,55,1167.65
73,MPB - Mabanda ,1,55,2938.9312975
74,Ciplac - C.Leroy ,1,55,1490.5
75,Ciplac - C.Leroy ,1,55,1490.5
76,GZW Mabota - Mabanda,1,55,1066.45
77,Gsez Mvoung -Biliba ,1,55,1057.1
77,PFM ,1,55,2113.65
78,MPB - Mabanda ,1,55,2938.9312975
79,MPB - Mabanda ,1,55,2938.9312975
80,Ciplac - C.Leroy ,1,55,1490.5
81,GZW Mabota - Mabanda,1,55,1066.45
82,GZW Mabota - Mabanda,1,55,1066.45
83,GZW Mabota - Mabanda,1,55,1066.45
84,GZW Mabota - Mabanda,1,55,1066.45
85,MPB - Mabanda ,1,55,2938.9312975
86,MPB - Mabanda ,1,55,2938.9312975
87,Ciplac - C.Leroy ,1,55,1490.5
88,GZW Mabota - Mabanda,1,55,1066.45
89,Ciplac - C.Leroy ,1,55,1490.5
90,Gsez Mvoung -Biliba ,1,55,1057.1
90,HuaJia ,1,55,1167.65
91,GZW Mabota - Mabanda,1,55,1066.45
